8,64,14,57,13,49,16,44,23,44,34,50,44,57,51,61,57,63,64,58,74,49,79,39,75,35,68,39,54,50,46,63,36,67,28,67,19,60,14,53,16
9,66,21,60,17,53,13,46,16,41,21,38,28,39,34,45,40,56,39,63,33,66,25,59,41,58,50,56,63,56,71,53,76,47,82,40,81,35,76,34,70
0,66,17,57,16,50,19,44,24,39,32,37,42,37,50,37,57,40,63,44,68,50,72,58,72,65,69,70,63,72,57,73,48,74,39,73,30,71,23,66,18
1,33,29,37,27,45,21,52,16,55,14,58,13,60,12,57,22,55,29,55,36,54,42,53,50,52,54,53,57,53,63,52,69,51,72,51,77,50,80,50,76
2,23,24,31,21,40,18,45,17,51,18,54,20,55,24,56,29,57,34,56,39,52,48,49,53,45,57,37,62,33,66,31,69,43,69,53,69,64,69,71,67
3,24,19,34,15,46,11,54,10,59,14,61,19,61,25,57,34,47,40,50,40,60,39,65,44,66,50,68,55,65,66,63,71,55,75,40,78,32,78,30,72
4,57,15,50,21,42,30,38,36,33,44,32,49,33,54,43,56,57,56,67,57,72,57,72,52,68,44,63,38,58,39,54,46,51,57,49,65,47,71,45,72
5,67,14,57,15,44,15,36,16,36,25,36,37,36,45,46,42,55,40,63,39,70,41,71,46,71,54,70,59,66,67,58,75,51,77,44,78,36,78,34,74
6,62,14,57,17,49,22,43,31,37,40,34,49,33,56,34,63,38,70,44,74,51,75,58,75,62,71,66,62,66,57,61,51,55,48,49,48,43,49,39,53
7,26,17,32,17,42,17,48,17,54,17,57,17,61,18,62,22,57,29,53,34,48,44,44,50,43,55,42,58,41,62,40,65,39,69,38,73,37,74,36,69
8,59,16,50,13,42,16,35,25,33,34,40,43,53,49,60,57,60,68,54,79,45,82,35,75,31,66,39,57,56,48,65,40,66,29,62,20,54,16,45,15
9,62,23,55,16,46,13,38,15,32,22,27,31,28,38,41,41,53,38,60,32,64,26,60,31,56,46,55,60,53,68,51,76,46,83,39,86,31,84,29,76
0,61,20,56,23,49,29,46,36,44,43,43,57,43,64,45,69,49,76,53,80,58,82,64,81,70,74,74,63,76,55,76,43,74,33,70,26,66,22,62,23
1,24,43,33,36,42,28,45,23,49,19,53,12,57,7,57,10,57,17,54,26,52,37,50,48,49,57,49,62,48,67,48,71,48,75,48,81,48,90,48,91
2,28,34,28,27,31,20,41,18,52,14,56,16,59,19,59,24,58,31,53,39,47,48,42,53,37,59,33,64,31,69,35,73,46,74,55,74,60,74,68,75
3,32,24,35,20,43,17,52,15,59,15,63,17,64,23,62,31,56,39,56,42,61,45,65,48,67,55,67,61,62,68,58,74,52,78,41,79,35,78,30,75
4,54,17,46,24,40,34,36,40,33,47,30,53,31,57,44,60,57,61,64,61,68,56,67,47,63,42,57,39,53,44,47,53,44,62,43,69,41,76,40,79
5,67,9,55,9,44,9,36,8,32,14,30,27,30,35,33,38,46,34,56,34,62,36,66,40,66,46,63,52,59,59,53,63,45,68,37,68,29,68,24,67
6,66,4,60,7,53,14,46,19,40,28,37,37,33,48,32,57,32,63,36,68,41,71,49,74,56,73,60,68,60,62,59,57,56,48,51,42,43,40,36,41
7,27,12,30,12,41,13,52,12,57,12,60,12,63,13,65,13,65,16,60,25,56,32,52,38,49,43,47,47,44,55,42,59,42,62,42,65,42,68,43,67
8,62,8,54,6,42,9,37,16,38,24,48,32,55,39,58,44,56,57,52,66,46,70,37,69,32,61,33,50,41,44,57,33,60,26,61,17,55,9,46,7
